,Origin_ratio_diff,Origin_ratio_diff,Origin_ratio_diff,Origin_ratio_diff,Origin_ratio_diff,Origin_ratio_diff,Destination_ratio_diff,Destination_ratio_diff,Destination_ratio_diff,Destination_ratio_diff,Destination_ratio_diff,Destination_ratio_diff,clusters
time_interval,Evening,Late Night,Midday,Rush Hour AM,Rush Hour PM,Weekend,Evening,Late Night,Midday,Rush Hour AM,Rush Hour PM,Weekend,
Station Complex Name,,,,,,,,,,,,,
71 St (D),-0.02,0.05,0.0,0.09,-0.1,0.01,0.02,-0.03,-0.04,-0.05,0.1,0.02,residential
"72 St (1,2,3)",0.05,-0.07,-0.02,-0.08,0.07,0.07,-0.02,-0.01,0.04,0.03,-0.07,0.06,destination
"72 St (C,B)",0.03,-0.08,-0.02,-0.12,0.13,0.07,-0.04,-0.02,0.09,0.03,-0.1,0.07,destination
72 St (Q),0.03,-0.08,-0.03,-0.07,0.18,-0.01,-0.03,0.06,0.03,0.11,-0.12,-0.02,destination
"74-Broadway (7)/Jackson Hts-Roosevelt Av (E,F,M,R)",0.02,0.01,0.0,-0.02,-0.03,0.04,0.02,0.0,0.0,-0.03,0.0,0.03,residential
"75 Av (E,F)",-0.01,-0.02,0.01,0.07,-0.03,0.0,0.0,-0.03,-0.01,-0.01,0.07,0.0,residential
"75 St-Elderts Ln (J,Z)",-0.02,0.07,0.02,0.05,-0.04,-0.06,0.01,-0.01,-0.02,0.01,0.06,-0.03,residential
77 St (6),0.03,-0.08,-0.01,-0.09,0.18,-0.02,-0.05,0.04,0.07,0.12,-0.14,-0.02,destination
77 St (R),-0.02,0.02,0.0,0.08,-0.05,-0.01,0.01,-0.02,-0.02,-0.03,0.1,-0.01,residential
79 St (1),0.03,-0.08,0.01,-0.07,0.1,0.02,-0.02,-0.01,0.06,0.04,-0.07,0.03,destination
79 St (D),-0.03,0.05,0.02,0.08,-0.1,0.0,0.01,-0.03,-0.03,-0.01,0.09,0.0,residential
8 Av (N),-0.01,-0.04,0.06,-0.04,0.03,0.04,-0.01,-0.03,0.09,0.03,-0.09,0.04,destination
"8 St-NYU (R,W)",0.08,-0.06,-0.06,-0.12,0.1,0.08,-0.04,-0.03,0.07,0.01,-0.08,0.08,destination
80 St (A),-0.02,0.08,0.0,0.09,-0.11,-0.02,0.04,0.0,-0.03,-0.06,0.1,-0.02,residential
"81 St-Museum of Natural History (C,B)",0.01,-0.09,-0.02,-0.13,0.17,0.08,-0.05,-0.02,0.15,0.03,-0.17,0.08,destination
82 St-Jackson Hts (7),0.01,-0.02,0.02,-0.07,0.04,0.04,0.0,-0.02,0.06,-0.01,-0.03,0.03,residential
85 St-Forest Pkwy (J),-0.01,0.09,0.02,0.07,-0.09,-0.06,0.01,-0.01,-0.01,-0.04,0.1,-0.03,residential
86 St (1),0.04,-0.07,0.0,-0.05,0.1,0.0,-0.02,0.0,0.04,0.05,-0.05,0.01,destination
"86 St (4,5,6)",0.03,-0.07,-0.03,-0.08,0.14,0.03,-0.04,0.01,0.06,0.07,-0.11,0.02,destination
